demand_heat,boiler,heat_pump,import
-29.061,29.061,0.0,-0.0
-11.921,11.921,0.0,-0.0
-9.677,9.677,0.0,-0.0
-6.256,6.256,0.0,-0.0
-5.256,5.256,0.0,-0.0
-2.628,2.628,0.0,-0.0
-42.0,42.0,0.0,-0.0
-86.628,50.0,36.628,-0.0
-68.256,50.0,18.256,-0.0
-66.256,50.0,16.256,-0.0
-96.793,50.0,46.793000000000006,-0.0
-86.281,50.0,36.281000000000006,-0.0
-96.165,50.0,46.165000000000006,-0.0
-67.14,50.0,17.14,-0.0
-84.909,50.0,34.909000000000006,-0.0
-75.025,50.0,25.025000000000006,-0.0
-79.909,50.0,29.909000000000006,-0.0
-57.628,50.0,7.628,-0.0
-68.769,50.0,18.769000000000005,-0.0
-67.14,50.0,17.14,-0.0
-78.653,50.0,28.653000000000006,-0.0
-60.14,50.0,10.14,-0.0
-54.884,50.0,4.884,-0.0
-15.256,15.256,0.0,-0.0
-15.512,15.512,0.0,-0.0
-13.884,13.884,0.0,-0.0
-3.628,3.628,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-41.628,41.628,0.0,-0.0
-78.0,50.0,28.0,-0.0
-81.14,50.0,31.14,-0.0
-89.165,50.0,39.165000000000006,-0.0
-72.14,50.0,22.14,-0.0
-73.769,50.0,23.769000000000005,-0.0
-83.281,50.0,33.281000000000006,-0.0
-100.677,50.0,50.67700000000001,-0.0
-78.909,50.0,28.909000000000006,-0.0
-62.14,50.0,12.14,-0.0
-72.025,50.0,22.025000000000006,-0.0
-61.512,50.0,11.512,-0.0
-75.653,50.0,25.653000000000006,-0.0
-68.769,50.0,18.769000000000005,-0.0
-59.769,50.0,9.768999999999998,-0.0
-67.769,50.0,17.769000000000005,-0.0
-77.537,50.0,27.537000000000006,-0.0
-21.14,21.14,0.0,-0.0
-14.256,14.256,0.0,-0.0
-17.769,17.769,0.0,-0.0
-3.628,3.628,0.0,-0.0
-3.628,3.628,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-49.256,49.256,0.0,-0.0
-88.14,50.0,38.14,-0.0
-63.884,50.0,13.884,-0.0
-74.397,50.0,24.397000000000006,-0.0
-92.165,50.0,42.165000000000006,-0.0
-66.884,50.0,16.884,-0.0
-62.884,50.0,12.884,-0.0
-68.769,50.0,18.769000000000005,-0.0
-81.165,50.0,31.165000000000006,-0.0
-73.281,50.0,23.281000000000006,-0.0
-63.14,50.0,13.14,-0.0
-52.256,50.0,2.2560000000000002,-0.0
-67.769,50.0,17.769000000000005,-0.0
-40.628,40.628,0.0,-0.0
